Кластер;Фраза;Где используется
Основной;ремонт квартир под ключ Краснодар;title, description, keywords
Основной;ремонт под ключ Краснодар;title, description, keywords
Цена;ремонт квартир Краснодар цена за м2;title, description, keywords
Цена;цена от 14 000 ₽/м²;title, description
Новостройки;ремонт квартиры в новостройке Краснодар;keywords
Премиум;дизайнерский ремонт квартиры Краснодар;keywords
Пакеты;косметический ремонт Краснодар;keywords
Пакеты;капитальный ремонт квартиры Краснодар;keywords
Доверие;фиксированная смета;description, og:description
Доверие;договор;description, og:description
Доверие;гарантия;description, og:description
Лид;замер;description, og:description
Лид;клининг;description, og:description
Регион;Краснодар;title, description, keywords, geo.placename
